journal,slug,year,title,pngs,files
"""Electronics""","a_review_of_energy_storage_economics_load_forecasting_and_hybrid_contr","2026","""A Review of Energy Storage Economics, Load Forecasting, and Hybrid Control Strategies for AC Microgrids in Modern Power Systems""","16","53"
"""Electronics""","enhancing_distribution_network_resilience_using_genetic_algorithms","2025","""Enhancing Distribution Network Resilience Using Genetic Algorithms""","11","45"
"""Electronics""","multi_level_network_topology_and_time_series_multi_scenario_optimizati","2025","""Multi-Level Network Topology and Time Series Multi-Scenario Optimization Planning Method for Hybrid AC/DC Distribution Systems in Data Centers""","20","59"
"""Electronics""","research_of_islanding_operation_and_fault_recovery_strategies_of_distr","2023","""Research of Islanding Operation and Fault Recovery Strategies of Distribution Network Considering Uncertainty of New Energy""","29","82"
"""Energies""","classification_based_global_optimization","2026","""A Classification-Based Global Optimization Approach for Integrated Planning of Distributed Generation, Capacitor Banks, and Electric Vehicle Charging Stations in Radial Distribution Networks""","23","67"
"""Energies""","differential_planning_strategy_resilience","2025","""A Differential Planning Strategy for Distribution Network Resilience Enhancement Considering Decision Dependence Uncertainty""","16","48"
"""Energies""","distributed_ess_resilience_planning","2026","""A Distributed Energy Storage-Based Planning Method for Enhancing Distribution Network Resilience""","22","61"
"""Energies""","dn_optimization_equipment_maintenance","2025","""Distribution Network Optimization and Flexibility Enhancement Based on Power Grid Equipment Maintenance""","10","37"
"""Energies""","economic_dispatch_in_electrical_systems_with_hybrid_generation_using_t","2025","""Economic Dispatch in Electrical Systems with Hybrid Generation Using the Differential Evolution Algorithm: A Comparative Analysis with Other Optimization Techniques Under Energy Limitation Scenarios""","29","75"
"""Energies""","hybrid_investment_optimization_risk_benefit","2023","""A Novel Hybrid Power-Grid Investment Optimization Model with Collaborative Consideration of Risk and Benefit""","23","63"
"""Energies""","multitimescale_coordinated_adequacy","2025","""Multi-Timescale Coordinated Planning of Wind, Solar, and Energy Storage Considering Generalized Adequacy""","45","83"
"""Energies""","research_on_bilstm_transformer_power_load_forecasting_method_based_on_","2026","""Research on BiLSTM-Transformer Power Load Forecasting Method Based on Dynamic Adaptive Fusion""","16","51"
"""Energies""","secondary_data_energy_investment","2026","""A Secondary-Data-Driven Decision Support Framework for Strategic Energy Investment Prioritization: An Explainable Multi-Criteria Application Across Countries""","13","45"
"""IEEE Access""","enhanced_coati_optimization_algorithm_for_static_and_dynamic_transmiss","2025","""Enhanced Coati Optimization Algorithm for Static and Dynamic Transmission Network Expansion Planning Problems""","36","94"
"""IEEE Access""","evaluation_of_system_performance_for_load_dispatch_feasibility_under_n","2025","""Evaluation of System Performance for Load Dispatch Feasibility Under N-1 Generator Contingencies in Day-Ahead Unit Commitment""","23","65"
"""IEEE Access""","loadseer_exploiting_tensor_graph_convolutional_network_for_power_load_","2024","""LoadSeer: Exploiting Tensor Graph Convolutional Network for Power Load Forecasting With Spatio-Temporal Characteristics""","11","41"
"Electronics","a_power_load_forecasting_method_based_on_intelligent_data_analysis","2023","""A Power Load Forecasting Method Based on Intelligent Data Analysis""","14","49"
"Electronics","a_short_term_power_load_forecasting_method_based_on_sboa_svmd_tcn_bils","2024","""A Short-Term Power Load Forecasting Method Based on SBOA–SVMD-TCN–BiLSTM""","23","65"
"Electronics","bayesian_optimized_gcn_bilstm_adaboost_model_for_power_load_forecastin","2025","""Bayesian-Optimized GCN-BiLSTM-Adaboost Model for Power-Load Forecasting""","16","58"
"Electronics","dynamic_line_rating_and_transformer_life_loss_related_unit_commitment_","2025","""Dynamic Line Rating and Transformer-Life-Loss-Related Unit Commitment Under Extreme High-Temperature Conditions""","10","39"
"Electronics","innovative_load_forecasting_models_and_intelligent_control_strategy_fo","2024","""Innovative Load Forecasting Models and Intelligent Control Strategy for Enhancing Distributed Load Levelling Techniques in Resilient Smart Grids""","17","53"
"Electronics","low_carbon_economic_dispatch_of_ies_considering_flexibility_and_multi_","2026","""Low Carbon Economic Dispatch of IES Considering Flexibility and Multi-Entity Participation Based on Improved PSO""","23","69"
"Electronics","multi_objective_site_selection_and_capacity_determination_of_distribut","2025","""Multi-Objective Site Selection and Capacity Determination of Distribution Network Considering New Energy Uncertainties and Shared Energy Storage of Electric Vehicles""","12","44"
"Electronics","optimizing_economic_dispatch_for_microgrid_clusters_using_improved_gre","2024","""Optimizing Economic Dispatch for Microgrid Clusters Using Improved Grey Wolf Optimization""","20","60"
"Electronics","quantitative_evaluation_of_crucial_substations_and_simulation_driven_i","2025","""Quantitative Evaluation of Crucial Substations and Simulation-Driven Impact Assessment of Commissioning Delays in Multi-Voltage Grid Planning""","14","47"
"Electronics","research_on_a_short_term_power_load_forecasting_method_based_on_a_thre","2025","""Research on a Short-Term Power Load Forecasting Method Based on a Three-Channel LSTM-CNN""","17","53"
