citation_id,title,authors,year,venue,doi_or_url,existence_status,metadata_status,context_status,evidence_source
ref1,"Differential Evolution -- A Simple and Efficient Heuristic for Global Optimization over Continuous Spaces","Rainer Storn; Kenneth Price",1997,Journal of Global Optimization,https://doi.org/10.1023/A:1008202821328,verified,verified_prior_crossref_plus_current_title_doi_check,supported_with_scope,"DOI record; paper.tex:28,69; web exact-DOI discovery 2026-09-03"
ref2,"Self-Adapting Control Parameters in Differential Evolution: A Comparative Study on Numerical Benchmark Problems","Janez Brest; Saso Greiner; Borko Boskovic; Marjan Mernik; Viljem Zumer",2006,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2006.872133,verified,verified_prior_crossref_plus_current_title_doi_check,supported_with_scope,"DOI record; paper.tex:28,69,332; CiNii/author repository metadata checked 2026-09-03"
ref3,Differential Evolution Algorithm with Strategy Adaptation for Global Numerical Optimization,"A. K. Qin; V. L. Huang; P. N. Suganthan",2009,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2008.927706,verified,verified_prior_crossref_plus_current_title_doi_check,supported_with_scope,"DOI record; paper.tex:28,69,336; exact-DOI metadata discovery checked 2026-09-03"
ref4,A comprehensive comparison of large scale global optimizers,"Antonio LaTorre; Santiago Muelas; Jose-Maria Pena",2015,Information Sciences,https://doi.org/10.1016/j.ins.2014.09.031,verified,verified_prior_crossref_plus_current_title_doi_check,partially_supported_narrow_required,"DOI record; paper.tex:28,65; author-institution publication record checked 2026-09-03"
ref5,SimBench -- A Benchmark Dataset of Electric Power Systems to Compare Innovative Solutions Based on Power Flow Analysis,"S. Meinecke; D. Sarajlic; S. R. Drauz; A. Klettke; L.-P. Lauven; C. Rehtanz; A. Moser; M. Braun",2020,Energies,https://doi.org/10.3390/en13123290,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:32,127; frozen Crossref audit note in MANUSCRIPT.md"
ref6,pymoo: Multi-Objective Optimization in Python,"J. Blank; K. Deb",2020,IEEE Access,https://doi.org/10.1109/ACCESS.2020.2990567,verified,verified_prior_crossref_plus_current_internal_consistency,supported_with_scope,"DOI/IEEE metadata; paper.tex:374; frozen Crossref audit note in MANUSCRIPT.md"
ref7,pandapower -- An Open-Source Python Tool for Convenient Modeling Analysis and Optimization of Electric Power Systems,"L. Thurner; A. Scheidler; F. Schafer; J.-H. Menke; J. Dollichon; F. Meier; S. Meinecke; M. Braun",2018,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2018.2829021,verified,verified_prior_crossref_plus_current_internal_consistency,supported_with_scope,"DOI/IEEE metadata; paper.tex:32,487; frozen Crossref audit note in MANUSCRIPT.md"
ref8,Optimization Principles Applied in Planning and Operation of Active Distribution Networks,Roko Prenc,2024,Energies,https://doi.org/10.3390/en17215432,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:59; author correction documented in MANUSCRIPT.md reference note"
ref9,Review of Active Distribution Network Planning: Elements in Optimization Models and Generative AI Applications,"A. E. Saldana-Gonzalez; M. Aragues-Penalba; V. Gadelha; A. Sumper",2026,Energies,https://doi.org/10.3390/en19010116,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:59; frozen Crossref audit note in MANUSCRIPT.md"
ref10,Active Distribution Network Expansion Planning Based on Wasserstein Distance and Dual Relaxation,"J. Liu; X. Weng; M. Bao; S. Lu; C. He",2024,Energies,https://doi.org/10.3390/en17123005,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:59; title supplies the narrowly worded method claim"
ref11,Coordinated Source--Network--Storage Expansion Planning of Active Distribution Networks Based on WGAN-GP Scenario Generation,"Dacheng Wang; Xuchen Wang; Minghui Duan; Zhe Wang; Yougong Su; Xin Liu; Xiangyi Wu; Hailong Nie; Fengzhang Luo; Shengyuan Wang",2026,Energies,https://doi.org/10.3390/en19010228,verified,verified_current_publisher_page,supported,"MDPI title/authors/abstract/DOI checked 2026-09-03; paper.tex:59"
ref12,Reliability-Oriented Distribution System Reinforcement Planning with Renewable Resources Considering Network Restoration and Intentional Islanding,M. A. Alotaibi,2026,Energies,https://doi.org/10.3390/en19061581,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:59; title supplies the narrowly worded method claim"
ref13,Transmission and Generation Expansion Planning Considering Virtual Power Lines/Plants Distributed Energy Injection and Demand Response Flexibility from TSO-DSO Interface,"F. A. L. Ferreira; C. Unsihuay-Vila; R. A. Nunez-Rodriguez",2025,Energies,https://doi.org/10.3390/en18071602,verified,verified_prior_crossref_plus_current_internal_consistency,supported_with_scope,"DOI/publisher metadata; paper.tex:59; retained explicitly as transmission-distribution-interface analogue"
ref14,Multi-Level Network Topology and Time Series Multi-Scenario Optimization Planning Method for Hybrid AC/DC Distribution Systems in Data Centers,"B. Chen; Y. Zhang; H. Liang",2025,Electronics,https://doi.org/10.3390/electronics14020264,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:59; title supplies the narrowly worded application claim"
ref15,Multi-Objective Collaborative Optimization of Distribution Networks with Energy Storage and Electric Vehicles Using an Improved NSGA-II Algorithm,"R. He; J. Hao; H. Zhou; F. Chen",2025,Energies,https://doi.org/10.3390/en18195232,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:59; title supplies method and planning-action claim"
ref16,A Classification-Based Global Optimization Approach for Integrated Planning of Distributed Generation Capacitor Banks and Electric Vehicle Charging Stations in Radial Distribution Networks,"A. Alrashidi; A. A. Fahmy; O. Saif; M. Kassem; A. Elsamahy; A. Salem",2026,Energies,https://doi.org/10.3390/en19143262,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:59; title supplies method and planning-action claim"
ref17,Vulnerability-Driven Multi-Objective Energy Storage Planning Using Enhanced Beluga Whale Optimization for Resilient Distribution Networks,"H. Qi; C. Zhao; X. Yan; W. Zhang; F. Guo; L. Zhang; B. Yang; H. Lu",2026,Energies,https://doi.org/10.3390/en19010210,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:65; title supplies the narrowly worded application claim"
ref18,Enhanced Coati Optimization Algorithm for Static and Dynamic Transmission Network Expansion Planning Problems,"M. Demirbas; M. Kenan Dosoglu; S. Duman",2025,IEEE Access,https://doi.org/10.1109/ACCESS.2025.3544523,verified,verified_prior_crossref_plus_current_internal_consistency,supported_with_scope,"DOI/IEEE metadata; paper.tex:65; transmission-only analogue and not distribution validation"
ref19,Economic Dispatch in Electrical Systems with Hybrid Generation Using the Differential Evolution Algorithm: A Comparative Analysis with Other Optimization Techniques Under Energy Limitation Scenarios,"J. Cadena-Albuja; C. Barrera-Singana; H. Arcos; J. Munoz",2025,Energies,https://doi.org/10.3390/en18133414,verified,verified_prior_crossref_plus_current_internal_consistency,supported_with_scope,"DOI/publisher metadata; paper.tex:65; dispatch-only DE application and not planning validation"
ref20,Multiobjective Evolutionary Algorithms: A Comparative Case Study and the Strength Pareto Approach,"E. Zitzler; L. Thiele",1999,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/4235.797969,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/IEEE metadata; paper.tex:65,123; original hypervolume lineage"
ref21,PlatEMO: A MATLAB Platform for Evolutionary Multi-Objective Optimization,"Y. Tian; R. Cheng; X. Zhang; Y. Jin",2017,IEEE Computational Intelligence Magazine,https://doi.org/10.1109/MCI.2017.2742868,verified,verified_prior_crossref_plus_current_internal_consistency,partially_supported_narrow_required,"DOI/IEEE metadata; paper.tex:65; platform/comparison infrastructure only"
ref22,A Critical Problem in Benchmarking and Analysis of Evolutionary Computation Methods,J. Kudela,2022,Nature Machine Intelligence,https://doi.org/10.1038/s42256-022-00579-0,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:65; benchmarking-risk claim only"
ref23,Differential Evolution: A Survey of the State-of-the-Art,"S. Das; P. N. Suganthan",2011,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2010.2059031,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/IEEE metadata; paper.tex:69; DE-lineage survey only"
ref24,Success-History Based Parameter Adaptation for Differential Evolution,"R. Tanabe; A. Fukunaga",2013,2013 IEEE Congress on Evolutionary Computation,https://doi.org/10.1109/CEC.2013.6557555,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/IEEE metadata; paper.tex:69; SHADE mechanism claim only"
ref25,Differential Evolution with Composite Trial Vector Generation Strategies and Control Parameters,"Y. Wang; Z. Cai; Q. Zhang",2011,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2010.2087271,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/IEEE metadata; paper.tex:69; composite-strategy mechanism claim only"
ref26,Differential Evolution: A Recent Review Based on State-of-the-Art Works,"M. F. Ahmad; N. A. M. Isa; W. H. Lim; K. M. Ang",2022,Alexandria Engineering Journal,https://doi.org/10.1016/j.aej.2021.09.013,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/publisher metadata; paper.tex:69; recent DE review only"
ref27,A Fast and Elitist Multiobjective Genetic Algorithm: NSGA-II,"K. Deb; A. Pratap; S. Agarwal; T. Meyarivan",2002,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/4235.996017,verified,verified_prior_crossref_plus_current_internal_consistency,supported,"DOI/IEEE metadata; paper.tex:69,344; non-dominated sorting and crowding mechanism"
