paper,target_journal,section,paragraph_id,sentence_id,line_start,word_count,status,issue_codes,suggestion_zh,sentence
mintou_p5_trace_moea_feasibility_review,Energies,TRACE-MOEA: Traceable Multi-Objective Evolution with Preference-Guided Ranking for Power Grid Investment Review,1,1,21,31,PASS,,,"**Authors:** Yubin Lin (林宇彬), Jiyu Li (李继宇), Xiaofei Ruan (阮筱菲), Xiaoyu Huang (黄晓予), Dishan Yang (杨迪珊) **Affiliations:** Economic and Technological Research Institute of State Grid Fujian Electric Power Co., Ltd., Fuzhou 350000, Fujian, China **Correspondence:** 18606932711@163.com (Y."
mintou_p5_trace_moea_feasibility_review,Energies,TRACE-MOEA: Traceable Multi-Objective Evolution with Preference-Guided Ranking for Power Grid Investment Review,1,2,21,1,PASS,,,Lin)
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,2,3,27,19,PASS,,,Utilities reviewing large grid-project queues need portfolio-aware optimization together with a record of the interventions that shape each recommendation.
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,2,4,27,24,PASS,,,"TRACE-MOEA combines preference-guided ranking, deterministic budget repair, and a quarantined decision trace that records repair drops and preference-elite injections without entering the evaluation metric."
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,2,5,27,25,PASS,,,"On a reproducible five-objective benchmark of 120 candidate projects, the method reaches pooled mean hypervolume 0.17425 across seven review scenarios and 30 seeds per stochastic method, 0.89% above NSGA-II (0.17270)."
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,2,6,27,30,PASS,,,"Among 28 comparisons with four stochastic baselines, TRACE-MOEA has 27 positive mean differences and 24 Holm-significant wins, with no significant loss; 21 gaps against three deterministic ranking rules are descriptive and all favor TRACE-MOEA."
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,2,7,27,17,PASS,,,A separate 270-run budget scan yields higher hypervolume than R-NSGA-II and NSGA-II at all three tested budgets.
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,2,8,27,20,PASS,,,"Component attribution is narrower: removing preference adaptation changes pooled hypervolume by 0.17%, and the direct contrast is unresolved after cross-scenario correction."
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,2,9,27,17,PASS,,,"The decision trace covers 98.6% of projects in returned fronts, but its effect on human review remains untested."
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,2,10,27,14,PASS,,,Public reliability and project-outcome checks provide descriptive external consistency rather than validated review performance.
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,3,11,29,19,PASS,,,**Keywords:** power grid investment review; project portfolio selection; multi-objective evolutionary algorithm; preference adaptation; decision traceability; hypervolume; external validity backtest
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,4,12,35,11,PASS,,,Grid operators face more candidate investments than available capital can support.
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,4,13,35,13,PASS,,,"The queue includes line reinforcement, protection and automation retrofits, storage, and renewable-support installations."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,4,14,35,12,PASS,,,"Expansion-planning research offers mature tools for sizing and routing assets under uncertainty [1,2]."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,4,15,35,29,PASS,,,"A review board faces a different task: select from predefined projects under a budget, balance reliability, renewable accommodation, and schedule risk, and justify each inclusion to regulators and stakeholders."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,5,16,37,12,PASS,,,The instruments that boards actually use come from multi-criteria decision analysis (MCDA).
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,5,17,37,21,PASS,,,"The AHP and TOPSIS families dominate energy investment appraisal [3,4] and continue to be refined for grid asset prioritization at this journal [5]."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,5,18,37,15,PASS,,,"Their strength is procedural transparency: weights, pairwise judgments, and closeness scores can all be minuted."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,5,19,37,14,PASS,,,"Their structural weakness is independent project scoring, which overlooks budget crowding-out and portfolio-level trade-offs."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,5,20,37,26,PASS,,,"Exact portfolio methods such as Robust Portfolio Modeling address this issue for small pools [6,7], but richer dependencies and larger combinatorial pools can make them computationally difficult."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,5,21,37,20,PASS,,,"MOEAs offer scalable approximate search [8,9], although a converged front alone does not explain why a project appears in a recommendation."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,6,22,39,10,PASS,,,TRACE-MOEA is designed to produce both portfolios and review evidence.
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,6,23,39,13,PASS,,,A preference-adaptive layer maintains objective-weight vectors and injects their best-response portfolios as elites.
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,6,24,39,17,PASS,,,"Every five generations, the vectors are perturbed and retained according to the dispersion of their induced responses."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,6,25,39,10,PASS,,,Deterministic repair removes low-benefit selections until the budget is met.
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,6,26,39,19,PASS,,,"A quarantined archive timestamps repair drops and preference-elite injections; no trace statistic enters an objective, constraint, or selection decision."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,7,27,41,18,PASS,,,"Because genuine utility review records with feasibility labels are confidential, evaluation is conducted on a reproducible proxy benchmark."
