question_id,natural_language,gold_sql,query_class,template_family_id,template_index,split,provenance_label,human_gold,sealed,network_code
SB-AUTO-001,How many buses are represented in this SimBench network?,SELECT COUNT(*) AS bus_count FROM buses,single_table,asset_inventory,1,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-002,How many lines are in the network?,SELECT COUNT(*) AS line_count FROM lines,single_table,asset_inventory,2,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-003,How many transformers are available?,SELECT COUNT(*) AS transformer_count FROM transformers,single_table,asset_inventory,3,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-004,How many load assets are recorded?,SELECT COUNT(*) AS load_count FROM loads,single_table,asset_inventory,4,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-005,How many distributed generators are recorded?,SELECT COUNT(*) AS generator_count FROM generators,single_table,asset_inventory,5,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-006,How many switches are represented?,SELECT COUNT(*) AS switch_count FROM switches,single_table,asset_inventory,6,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-007,List buses whose nominal voltage is at least 100 kV.,"SELECT bus_id, name, nominal_kv FROM buses WHERE nominal_kv >= 100 ORDER BY bus_id",filter,threshold_filter,1,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-008,List in-service lines longer than 2 km.,"SELECT line_id, name, length_km FROM lines WHERE in_service = 1 AND length_km > 2 ORDER BY length_km DESC, line_id",filter,threshold_filter,2,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-009,Which loads have a maximum active power above 1 MW?,"SELECT load_id, name, maximum_active_power_mw FROM loads WHERE maximum_active_power_mw > 1 ORDER BY maximum_active_power_mw DESC, load_id",filter,threshold_filter,3,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-010,Which generators are controllable?,"SELECT generator_id, name, generator_type FROM generators WHERE controllable = 1 ORDER BY generator_id",filter,threshold_filter,4,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-011,List all normally open switches.,"SELECT switch_id, name, element_type FROM switches WHERE closed = 0 ORDER BY switch_id",filter,threshold_filter,5,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-012,List hydro generators in service.,"SELECT generator_id, name, active_power_mw FROM generators WHERE generator_type LIKE '%Hydro%' AND in_service = 1 ORDER BY generator_id",filter,threshold_filter,6,development_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-013,What is the total maximum active power of all loads in MW?,"SELECT ROUND(SUM(maximum_active_power_mw), 6) AS total_load_max_mw FROM loads",aggregate,asset_aggregation,1,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-014,What is the total maximum active power of all distributed generators in MW?,"SELECT ROUND(SUM(maximum_active_power_mw), 6) AS total_generation_max_mw FROM generators",aggregate,asset_aggregation,2,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-015,What is the average line length in kilometres?,"SELECT ROUND(AVG(length_km), 6) AS average_line_length_km FROM lines",aggregate,asset_aggregation,3,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-016,What is the total rated transformer capacity in MVA?,"SELECT ROUND(SUM(rated_power_mva), 6) AS total_transformer_mva FROM transformers",aggregate,asset_aggregation,4,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-017,How many buses belong to each nominal voltage level?,"SELECT nominal_kv, COUNT(*) AS bus_count FROM buses GROUP BY nominal_kv ORDER BY nominal_kv DESC",aggregate,asset_aggregation,5,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-018,How many open and closed switches are there?,"SELECT closed, COUNT(*) AS switch_count FROM switches GROUP BY closed ORDER BY closed",aggregate,asset_aggregation,6,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-019,Show the five loads with the largest maximum active power and their bus names.,"SELECT l.load_id, l.name AS load_name, b.name AS bus_name, l.maximum_active_power_mw FROM loads l JOIN buses b ON b.bus_id = l.bus_id ORDER BY l.maximum_active_power_mw DESC, l.load_id LIMIT 5",join,cross_asset_join,1,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-020,Show each hydro generator together with its connected bus and nominal voltage.,"SELECT g.name AS generator_name, b.name AS bus_name, b.nominal_kv FROM generators g JOIN buses b ON b.bus_id = g.bus_id WHERE g.generator_type LIKE '%Hydro%' ORDER BY g.generator_id",join,cross_asset_join,2,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-021,Show transformer names with their high- and low-voltage bus names.,"SELECT t.name AS transformer_name, hb.name AS high_voltage_bus, lb.name AS low_voltage_bus FROM transformers t JOIN buses hb ON hb.bus_id = t.hv_bus_id JOIN buses lb ON lb.bus_id = t.lv_bus_id ORDER BY t.transformer_id",join,cross_asset_join,3,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
