citation_id,title,authors,year,venue,doi_or_url,existence_status,metadata_status,context_status,evidence_source,exact_supported_claim,audit_note
ref1,Bayesian-Optimized GCN-BiLSTM-Adaboost Model for Power-Load Forecasting,"Jiarui Li; Jian Li; Jiatong Li; Guozheng Zhang",2025,Electronics 14(16) 3332,10.3390/electronics14163332,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_CATALOGUE,https://doi.org/10.3390/electronics14163332,The paper is a power-load forecasting hybrid containing GCN BiLSTM and Adaboost,Used only as an example; no transfer of its reported accuracy to this study
ref2,Short-Term Multi-Energy Load Forecasting Method Based on Transformer Spatio-Temporal Graph Neural Network,"Heng Zhou; Qing Ai; Ruiting Li",2025,Energies 18(17) 4466,10.3390/en18174466,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://doi.org/10.3390/en18174466,The paper combines a Transformer framework with dynamic adaptive graph convolution for multi-energy load forecasting,Its physical-topology and feature-similarity graph is not comparable to the present dense attention baseline
ref3,Short-Term Power Load Forecasting Using an Improved Model Integrating GCN and Transformer,"Man Wu; Wanyi Feng; Xinya Li; Yunan Liu; Chuxin Cao",2025,Applied Sciences 15(13) 7003,10.3390/app15137003,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_CATALOGUE,https://doi.org/10.3390/app15137003,The paper reports a short-term load model integrating multi-scale GCN and Transformer,Its 7:1:2 splits and tasks do not supply a matched comparison for this paper
ref4,LoadSeer: Exploiting Tensor Graph Convolutional Network for Power Load Forecasting With Spatio-Temporal Characteristics,"Jian Zhang; Bo Yu; Hongyi Lai; Li Liu; Jiawei Zhou; Fei Lou; Yi Ni; Yu Peng; Zhiwen Yu",2024,IEEE Access 12 190337-190346,10.1109/ACCESS.2024.3514174,VERIFIED_DOI_RECORD,VERIFIED_MATCH,SUPPORTED_CATALOGUE,https://doi.org/10.1109/ACCESS.2024.3514174,The paper is a tensor graph-convolutional power-load forecaster with spatio-temporal characteristics,Only catalogue-level method positioning is used
ref5,Are Transformers Effective for Time Series Forecasting?,"Ailing Zeng; Muxi Chen; Lei Zhang; Qiang Xu",2023,AAAI 37(9) 11121-11128,10.1609/aaai.v37i9.26317,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://ojs.aaai.org/index.php/AAAI/article/view/26317,The paper's linear family including DLinear outperformed the compared Transformer models on nine long-horizon datasets,DLinear is not described as a bare single layer because it includes decomposition
ref6,Statistical and Machine Learning forecasting methods: Concerns and ways forward,"Spyros Makridakis; Evangelos Spiliotis; Vassilis Assimakopoulos",2018,PLOS ONE 13(3) e0194889,10.1371/journal.pone.0194889,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://doi.org/10.1371/journal.pone.0194889,The reported M3 comparison found the evaluated statistical methods more accurate than the evaluated ML methods,Scoped to the study's methods and M3 data
ref7,"The M4 Competition: 100,000 time series and 61 forecasting methods","Spyros Makridakis; Evangelos Spiliotis; Vassilios Assimakopoulos",2020,International Journal of Forecasting 36(1) 54-74,10.1016/j.ijforecast.2019.04.014,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://doi.org/10.1016/j.ijforecast.2019.04.014,M4 evaluated 61 methods on 100000 series and its top point-forecast method was hybrid,Does not show that every hybrid or statistical component is necessary
ref8,Forecast evaluation for data scientists: common pitfalls and best practices,"Hansika Hewamalage; Klaus Ackermann; Christoph Bergmeir",2023,Data Mining and Knowledge Discovery 37(2) 788-832,10.1007/s10618-022-00894-5,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://link.springer.com/article/10.1007/s10618-022-00894-5,The article gives guidance on partitioning measures competitive benchmarks leakage and statistical testing,It does not prescribe this paper's exact seed and Holm design
ref9,Long Short-Term Memory,"Sepp Hochreiter; Jürgen Schmidhuber",1997,Neural Computation 9(8) 1735-1780,10.1162/neco.1997.9.8.1735,VERIFIED_DOI_RECORD,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.1162/neco.1997.9.8.1735,Foundational source for the LSTM recurrent cell,No load-forecasting claim is attributed to this source
ref10,Short-Term Residential Load Forecasting Based on LSTM Recurrent Neural Network,"Weicong Kong; Zhao Yang Dong; Youwei Jia; David J Hill; Yan Xu; Yuan Zhang",2019,IEEE Transactions on Smart Grid 10(1) 841-851,10.1109/TSG.2017.2753802,VERIFIED_DOI_RECORD,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.1109/TSG.2017.2753802,The paper applies an LSTM recurrent network to short-term residential load forecasting,Publication year is 2019 although DOI metadata first appeared earlier
ref11,DeepAR: Probabilistic forecasting with autoregressive recurrent networks,"David Salinas; Valentin Flunkert; Jan Gasthaus; Tim Januschowski",2020,International Journal of Forecasting 36(3) 1181-1191,10.1016/j.ijforecast.2019.07.001,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.1016/j.ijforecast.2019.07.001,DeepAR trains one autoregressive recurrent model across many related series,Probabilistic scope is retained
ref12,Temporal Convolutional Networks Applied to Energy-Related Time Series Forecasting,"Pablo Lara-Benítez; Manuel Carranza-García; José M Luna-Romera; José C Riquelme",2020,Applied Sciences 10(7) 2322,10.3390/app10072322,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://doi.org/10.3390/app10072322,The paper compares temporal convolutional and recurrent approaches on energy-related forecasting tasks,Manuscript no longer generalizes lower cost beyond that comparison
ref13,Temporal Fusion Transformers for interpretable multi-horizon time series forecasting,"Bryan Lim; Sercan O Arik; Nicolas Loeff; Tomas Pfister",2021,International Journal of Forecasting 37(4) 1748-1764,10.1016/j.ijforecast.2021.03.012,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.1016/j.ijforecast.2021.03.012,TFT combines recurrent local processing and interpretable self-attention for multi-horizon forecasting,No load-specific superiority claim is made
ref14,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,"Haoyi Zhou; Shanghang Zhang; Jieqi Peng; Shuai Zhang; Jianxin Li; Hui Xiong; Wancai Zhang",2021,AAAI 35(12) 11106-11115,10.1609/aaai.v35i12.17325,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_EXACT,https://ojs.aaai.org/index.php/AAAI/article/view/17325,Informer proposes sparse attention for long-sequence time-series forecasting,No claim is made about this paper's task
ref15,Research on a Short-Term Power Load Forecasting Method Based on a Three-Channel LSTM-CNN,"Xiaoyang Zhao; Hong Peng; Lei Zhang; Hui Ma",2025,Electronics 14(11) 2262,10.3390/electronics14112262,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_CATALOGUE,https://doi.org/10.3390/electronics14112262,The paper uses three feature channels with an LSTM-CNN model for short-term load forecasting,Included as one hybrid example only
ref16,Research on BiLSTM-Transformer Power Load Forecasting Method Based on Dynamic Adaptive Fusion,"Jialong Xu; Lei Zhang; Zhenxiong Zhang",2026,Energies 19(6) 1473,10.3390/en19061473,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_CATALOGUE,https://doi.org/10.3390/en19061473,The paper uses a BiLSTM-Transformer with dynamic adaptive fusion for power-load forecasting,Included as a current hybrid example only
ref17,A Short-Term Power Load Forecasting Method Based on SBOA-SVMD-TCN-BiLSTM,"Mao Yang; Yiming Chen; Guozhong Fang; Chenglian Ma; Yunjing Liu; Jinxin Wang",2024,Electronics 13(17) 3441,10.3390/electronics13173441,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_CATALOGUE,https://doi.org/10.3390/electronics13173441,The paper reports the named decomposition optimization TCN and BiLSTM pipeline,Included as one hybrid example only
ref18,Optimizing Smart Grid Load Forecasting via a Hybrid Long Short-Term Memory-XGBoost Framework: Enhancing Accuracy Robustness and Energy Management,"Falah Dakheel; Mesut Cevik",2025,Energies 18(11) 2842,10.3390/en18112842,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_CATALOGUE,https://doi.org/10.3390/en18112842,The paper reports an LSTM-XGBoost framework for smart-grid load forecasting,Included as one hybrid example only
ref19,Modeling Long- and Short-Term Temporal Patterns with Deep Neural Networks,"Guokun Lai; Wei-Cheng Chang; Yiming Yang; Hanxiao Liu",2018,ACM SIGIR 2018 95-104,10.1145/3209978.3210006,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://doi.org/10.1145/3209978.3210006,LSTNet combines convolutional recurrent and autoregressive components for multivariate forecasting,It is not a graph-convolutional method
ref20,Spatio-Temporal Graph Convolutional Networks: A Deep Learning Framework for Traffic Forecasting,"Bing Yu; Haoteng Yin; Zhanxing Zhu",2018,IJCAI 2018 3634-3640,10.24963/ijcai.2018/505,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.24963/ijcai.2018/505,STGCN performs spatio-temporal graph convolution on a predefined traffic-sensor graph,Traffic evidence is not load evidence
