dataset_id,category,local_path,status,source_url,access_mode,default_download,main_tasks,notes
matpower,grid_cases,data/public_datasets/grid_cases/matpower,downloaded,https://github.com/MATPOWER/matpower,git_sparse_clone,yes,PF;OPF;N-1;ML-OPF,Core MATPOWER case files
pandapower,grid_cases,data/public_datasets/grid_cases/pandapower,downloaded,https://github.com/e2nIEE/pandapower,git_sparse_clone,yes,PF;OPF;short circuit;state estimation;distribution studies,Sparse clone of pandapower/networks
pglib_opf,opf_benchmarks,data/public_datasets/opf_benchmarks/pglib-opf,downloaded,https://github.com/power-grid-lib/pglib-opf,git_clone,yes,AC OPF;DC OPF;OPF approximation,IEEE/Pegase/RTE/GOC style OPF cases
rts_gmlc,production_cost,data/public_datasets/production_cost/rts-gmlc,downloaded,https://github.com/GridMod/RTS-GMLC,git_clone,yes,production cost;unit commitment;reliability;renewable integration,RTS-GMLC data and documentation
simbench,grid_cases,data/public_datasets/grid_cases/simbench,downloaded,https://github.com/e2nIEE/simbench,git_clone,yes,distribution simulation;DER control;load flow,Benchmark grids and time series
grid2op_datasets,rl_control,data/public_datasets/rl_control/grid2op-datasets,downloaded,https://github.com/Grid2op/grid2op-datasets,git_clone,yes,topology control;L2RPN;RL,Index repo; full environments are downloaded separately
tamu_test_cases,grid_cases,data/public_datasets/grid_cases/tamu_test_cases,partial,https://electricgrids.engr.tamu.edu/electric-grid-test-cases/,web_gdrive,yes,PF;OPF;cascading;planning,"ACTIVSg2000 June2016 downloaded (2.1MB); other ACTIVSg cases form-gated, need browser"
opsd_time_series,time_series_market,data/public_datasets/time_series_market/opsd_time_series,downloaded,https://data.open-power-system-data.org/time_series/,direct_download,yes,load forecasting;renewable forecasting;price forecasting,Cached 60-minute singleindex CSV plus datapackage metadata
eia_opendata,time_series_market,data/public_datasets/time_series_market/eia_opendata,downloaded,https://www.eia.gov/opendata/,api_download,yes,load;generation;price;fuel analytics,"10 US RTOs 2023 hourly load (97MB, 115 JSON files); upgraded from metadata-only 2026-07-19"
entsoe_transparency,time_series_market,data/public_datasets/time_series_market/entsoe_transparency,downloaded,https://transparency.entsoe.eu/,api_download,yes,load;generation;price;flow forecasting,4 EU bidding zones 2023 load XML (ES/FR full year + IT/NL Jan); upgraded from metadata-only 2026-07-19
