paper_id,title,topic_id,journal,publication_date,doi,pdf_path,ara_path,collection_status,ownership_status
tj_p1_twin_gru_dispatch_04_analysis_of_heuristic_optimization_technique_solut,Analysis of Heuristic Optimization Technique Solutions for Combined Heat-Power Economic Load Dispatch,p1_twin_gru_dispatch,Applied Sciences,2023-09-16,https://doi.org/10.3390/app131810380,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__04__analysis_of_heuristic_optimization_technique_solutions_for_combined_he__298b27049c.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_04_analysis_of_heuristic_optimization_technique_solut,target_journal_related_external,external_published_paper_not_project_original
tj_p1_twin_gru_dispatch_05_optimal_dispatch_of_multi_coupling_systems_conside,Optimal Dispatch of Multi-Coupling Systems Considering Molten Salt Thermal Energy Storage Retrofit and Cost Allocation Under Rapid Load Variations,p1_twin_gru_dispatch,Applied Sciences,2025-04-07,https://doi.org/10.3390/app15074062,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__05__optimal_dispatch_of_multi_coupling_systems_considering_molten_salt_the__10ff400301.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_05_optimal_dispatch_of_multi_coupling_systems_conside,target_journal_related_external,external_published_paper_not_project_original
tj_p1_twin_gru_dispatch_03_a_repair_based_improved_whale_optimization_algorit,A Repair-Based Improved Whale Optimization Algorithm for Low-Carbon Economic Dispatch of an Islanded Renewable Microgrid,p1_twin_gru_dispatch,Applied Sciences,2026-06-12,https://doi.org/10.3390/app16125952,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__03__a_repair_based_improved_whale_optimization_algorithm_for_low_carbon_ec__a4ef78a832.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_03_a_repair_based_improved_whale_optimization_algorit,target_journal_related_external,external_published_paper_not_project_original
tj_p1_twin_gru_dispatch_09_optimizing_economic_dispatch_for_microgrid_cluster,Optimizing Economic Dispatch for Microgrid Clusters Using Improved Grey Wolf Optimization,p1_twin_gru_dispatch,Electronics,2024-08-08,https://doi.org/10.3390/electronics13163139,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__09__optimizing_economic_dispatch_for_microgrid_clusters_using_improved_gre__31a69df1d7.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_09_optimizing_economic_dispatch_for_microgrid_cluster,target_journal_related_external,external_published_paper_not_project_original
tj_p1_twin_gru_dispatch_12_the_study_of_an_improved_particle_swarm_optimizati,The Study of an Improved Particle Swarm Optimization Algorithm Applied to Economic Dispatch in Microgrids,p1_twin_gru_dispatch,Electronics,2024-10-17,https://doi.org/10.3390/electronics13204086,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__12__the_study_of_an_improved_particle_swarm_optimization_algorithm_applied__a9403b686a.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_12_the_study_of_an_improved_particle_swarm_optimizati,target_journal_related_external,external_published_paper_not_project_original
tj_p1_twin_gru_dispatch_02_dynamic_line_rating_and_transformer_life_loss_rela,Dynamic Line Rating and Transformer-Life-Loss-Related Unit Commitment Under Extreme High-Temperature Conditions,p1_twin_gru_dispatch,Electronics,2025-10-14,https://doi.org/10.3390/electronics14204027,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__02__dynamic_line_rating_and_transformer_life_loss_related_unit_commitment__2e4f3d4094.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_02_dynamic_line_rating_and_transformer_life_loss_rela,target_journal_related_external,external_published_paper_not_project_original
tj_p1_twin_gru_dispatch_07_low_carbon_economic_dispatch_of_ies_considering_fl,Low Carbon Economic Dispatch of IES Considering Flexibility and Multi-Entity Participation Based on Improved PSO,p1_twin_gru_dispatch,Electronics,2026-02-25,https://doi.org/10.3390/electronics15050933,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__07__low_carbon_economic_dispatch_of_ies_considering_flexibility_and_multi__7d90cf7078.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_07_low_carbon_economic_dispatch_of_ies_considering_fl,target_journal_related_external,external_published_paper_not_project_original
tj_p1_twin_gru_dispatch_10_self_unit_commitment_of_combined_cycle_units_with,Self-Unit Commitment of Combined-Cycle Units with Real Operational Constraints,p1_twin_gru_dispatch,Energies,2023-12-21,https://doi.org/10.3390/en17010051,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__10__self_unit_commitment_of_combined_cycle_units_with_real_operational_con__c6281ef483.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_10_self_unit_commitment_of_combined_cycle_units_with,target_journal_related_external,external_published_paper_not_project_original
tj_p1_twin_gru_dispatch_11_convex_hull_pricing_for_unit_commitment_survey_ins,"Convex Hull Pricing for Unit Commitment: Survey, Insights, and Discussions",p1_twin_gru_dispatch,Energies,2024-09-27,https://doi.org/10.3390/en17194851,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__11__convex_hull_pricing_for_unit_commitment_survey_insights_and_discussion__af00d128c1.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_11_convex_hull_pricing_for_unit_commitment_survey_ins,target_journal_related_external,external_published_paper_not_project_original
tj_p1_twin_gru_dispatch_01_a_two_stage_energy_and_service_market_framework_in,A Two-Stage Energy and Service Market Framework Involving Unit Commitment and Network-Based Redispatch,p1_twin_gru_dispatch,Energies,2026-05-15,https://doi.org/10.3390/en19102377,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__01__a_two_stage_energy_and_service_market_framework_involving_unit_commitm__1bc5ffee79.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_01_a_two_stage_energy_and_service_market_framework_in,target_journal_related_external,external_published_paper_not_project_original
