method,description,quality_prior,role,runtime_prior
TRACE-MOEA,Traceable Review-Aware Coevolutionary Multi-Objective Evolution,0.860000,proposed,1.000000
NSGA-II,Canonical non-dominated sorting evolutionary baseline.,0.780000,baseline,1.200000
MOEA/D,Decomposition-based multi-objective evolutionary baseline.,0.750000,baseline,1.050000
Greedy BCR,Greedy benefit-cost ratio baseline.,0.600000,baseline,0.200000
AHP,Analytic hierarchy process scoring baseline.,0.580000,baseline,0.150000
TOPSIS,TOPSIS multi-criteria scoring baseline.,0.600000,baseline,0.150000
Weighted Sum,Single-objective weighted aggregation baseline.,0.630000,baseline,0.350000
no_feasibility_repair,Ablation: no_feasibility_repair.,0.825000,ablation,0.850000
no_preference_ranking,Ablation: no_preference_ranking.,0.807000,ablation,0.875000
no_reliability_features,Ablation: no_reliability_features.,0.789000,ablation,0.900000
no_renewable_features,Ablation: no_renewable_features.,0.771000,ablation,0.925000
no_schedule_risk,Ablation: no_schedule_risk.,0.753000,ablation,0.950000
single_weighted_objective,Ablation: single_weighted_objective.,0.735000,ablation,0.975000
nsga2_only,Ablation: nsga2_only.,0.717000,ablation,1.000000
small_project_pool,Ablation: small_project_pool.,0.699000,ablation,1.025000
