paper,target_journal,section,paragraph_id,sentence_id,line_start,word_count,status,issue_codes,suggestion_zh,sentence
mintou_p1_dstar_gru_dispatch,IEEE Access,An Operating-State Retrieval Framework and Reproducible Curtailment-Risk Benchmark for Power System Decision Support,1,1,19,25,BLOCK,P0_PLACEHOLDER,投稿前填入经作者确认的信息，删除占位标记,**Authors:** [AUTHOR INPUT REQUIRED: final author list and public ORCIDs] **Affiliations:** [AUTHOR INPUT REQUIRED: complete institutional addresses] **Corresponding author:** [AUTHOR INPUT REQUIRED: name and e-mail]
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,2,2,25,20,PASS,,,"Public evaluation assets for renewable-curtailment forecasting remain limited because studies commonly use private single-system data, task-specific targets, and incomparable protocols."
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,2,3,25,17,PASS,,,We construct a reproducible curtailment-risk benchmark from the open Reliability Test System Grid Modernization Lab Consortium data.
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,2,4,25,34,PASS,,,"A fixed reference operating policy with a 70% system non-synchronous-penetration-type cap converts 8760 hours of day-ahead load and renewable generation into a method-independent risk proxy, while an onset slice evaluates transitions from quiet to material-curtailment conditions."
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,2,5,25,28,PASS,,,"Under one leakage-free temporal split, training-window-calibrated warning thresholds, and ten seeded runs for stochastic methods, we compare DSTAR-GRU--a gated-recurrent operating-state retrieval framework--with eight baselines and five mechanism controls."
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,2,6,25,25,PASS,,,"Retrieval improves 1-hour mean absolute error relative to the prespecified retrieval-removal and retrieval-degradation controls, but reduces 24-hour onset-warning performance relative to no-retrieval and raw-feature-retrieval variants."
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,2,7,25,18,PASS,,,"Persistence achieves the lowest overall mean absolute error at both horizons, whereas ridge regression leads 24-hour onset detection."
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,2,8,25,19,PASS,,,"A fixed-cap transport check on NREL-118 produces no positive target hours, indicating that the policy-derived task requires system-specific calibration."
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,2,9,25,23,PASS,,,The benchmark therefore reveals a horizon-dependent role for retrieval and separates overall accuracy from operationally relevant onset warning without implying general forecasting superiority.
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,3,10,27,18,PASS,,,"**Index Terms** — renewable energy curtailment, benchmark, reproducibility, case-based retrieval, metric learning, time-series forecasting, early warning, RTS-GMLC, naive baselines"
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,4,11,33,13,PASS,,,High instantaneous wind and solar shares can force curtailment when acceptance limits bind.
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,4,12,33,25,PASS,,,"International reviews document volumes and causes across multiple systems [1], national studies identify their drivers [2], and planning analyses show that some curtailment can be economically rational [3]."
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,4,13,33,19,PASS,,,One explicit mechanism is the system non-synchronous penetration (SNSP) limit used on the all-island Irish system for frequency stability [4].
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,4,14,33,15,PASS,,,"When the cap binds, curtailment follows from load and renewable trajectories, making cap-driven risk forecastable."
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,4,15,33,11,PASS,,,Day-ahead SNSP forecasting has accordingly been demonstrated on Irish system data [5].
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,5,16,35,9,PASS,,,"Anticipating curtailment, however, currently has no shared measurement infrastructure."
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,5,17,35,43,PASS,,,"Each study forecasts its own signal on its own (usually private) data with its own evaluation conventions; no public benchmark defines the task, no evaluation protocol isolates the operationally critical *onset* hours where curtailment emerges after quiet conditions, and statistical practice is thin."
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,5,18,35,21,PASS,,,This absence is consequential because curtailment series are sparse and highly persistent: 91.8% of the hours in our benchmark have zero curtailment.
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,5,19,35,23,PASS,,,"Forecasting-methodology research further shows that, on such series, evaluations without strong naive baselines and leak-free protocols can overstate the value of learned methods [7], [8]."
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,5,20,35,27,PASS,,,"A public test system suitable for building such a benchmark exists: RTS-GMLC provides a full year of time-synchronized day-ahead load, wind, and solar series with open licensing [6]."
