paper,phrase,manuscript_count,comparator_mean_count,comparator_document_frequency,n_comparators
P1,results show that,0,1,6,10
P1,results indicate that,0,0.1,1,10
P1,as shown in figure,0,1,4,10
P1,as presented in table,0,0.3,3,10
P1,compared with,0,2.7,9,10
P1,compared to,0,3.3,7,10
P1,under the same,1,0.1,1,10
P1,statistically significant,0,0,0,10
P1,no significant difference,1,0.1,1,10
P1,it should be noted that,0,0,0,10
P1,in order to,0,3.3,8,10
P1,can be expressed as,0,0,0,10
P1,is defined as,0,0.9,4,10
P1,is calculated as,0,0.4,4,10
P1,the objective function,0,0.9,4,10
P1,constraint condition,0,0,0,10
P1,experimental results,0,2.6,6,10
P1,sensitivity analysis,2,0.2,1,10
P1,ablation study,0,0.1,1,10
P1,confidence interval,0,0,0,10
P1,standard deviation,0,0.4,3,10
P1,random seed,0,0,0,10
P1,training set,0,1.1,5,10
P1,validation set,0,0.2,2,10
P1,test set,0,1.3,5,10
P1,future work,1,0.7,5,10
P1,limitations of this study,0,0,0,10
P1,in this paper,1,7,7,10
P1,this paper proposes,0,0.7,4,10
P1,we propose,0,1,4,10
P1,we evaluate,0,0,0,10
P1,does not establish,0,0,0,10
P1,under the evaluated protocol,0,0,0,10
P2,results show that,0,0.8,6,10
P2,results indicate that,0,0.4,3,10
P2,as shown in figure,0,1.6,9,10
P2,as presented in table,0,0.2,2,10
P2,compared with,2,4,8,10
P2,compared to,0,3.9,9,10
P2,under the same,1,0.1,1,10
P2,statistically significant,0,0,0,10
P2,no significant difference,0,0,0,10
P2,it should be noted that,0,0.3,2,10
P2,in order to,0,1.3,5,10
P2,can be expressed as,0,1.1,7,10
P2,is defined as,0,0.3,3,10
P2,is calculated as,0,0.1,1,10
P2,the objective function,0,1.5,6,10
P2,constraint condition,0,0.1,1,10
P2,experimental results,0,0.7,3,10
P2,sensitivity analysis,3,0.4,2,10
P2,ablation study,1,0,0,10
P2,confidence interval,0,0.3,1,10
P2,standard deviation,1,0.3,2,10
P2,random seed,0,0,0,10
P2,training set,0,0.6,3,10
P2,validation set,0,0,0,10
P2,test set,4,1,4,10
P2,future work,0,0.4,4,10
P2,limitations of this study,0,0,0,10
P2,in this paper,0,3.2,9,10
P2,this paper proposes,0,0.8,4,10
P2,we propose,0,0.5,3,10
P2,we evaluate,1,0,0,10
P2,does not establish,0,0,0,10
P2,under the evaluated protocol,0,0,0,10
P3,results show that,0,0.7,4,10
P3,results indicate that,0,0.4,4,10
P3,as shown in figure,0,1.1,7,10
P3,as presented in table,0,0,0,10
P3,compared with,3,2.8,7,10
P3,compared to,0,2.2,9,10
P3,under the same,1,0.3,2,10
P3,statistically significant,0,0,0,10
P3,no significant difference,0,0,0,10
P3,it should be noted that,0,0.1,1,10
P3,in order to,0,2.1,6,10
P3,can be expressed as,0,0.9,4,10
P3,is defined as,0,1.2,5,10
P3,is calculated as,0,0.4,3,10
P3,the objective function,0,4,10,10
P3,constraint condition,0,0.1,1,10
P3,experimental results,0,0,0,10
P3,sensitivity analysis,1,0.9,4,10
P3,ablation study,3,0,0,10
P3,confidence interval,0,0.2,1,10
P3,standard deviation,0,0.8,5,10
P3,random seed,0,0,0,10
P3,training set,0,0,0,10
P3,validation set,1,0,0,10
P3,test set,0,0,0,10
P3,future work,1,1,5,10
P3,limitations of this study,0,0,0,10
P3,in this paper,1,2.2,6,10
P3,this paper proposes,0,0.7,4,10
P3,we propose,0,0.1,1,10
P3,we evaluate,0,0,0,10
P3,does not establish,1,0,0,10
P3,under the evaluated protocol,0,0,0,10
P4,results show that,0,1,6,10
P4,results indicate that,0,0.2,2,10
P4,as shown in figure,0,0.9,6,10
P4,as presented in table,0,0,0,10
P4,compared with,3,2.7,7,10
P4,compared to,0,2.8,7,10
P4,under the same,0,0.1,1,10
P4,statistically significant,0,0,0,10
P4,no significant difference,3,0,0,10
P4,it should be noted that,0,0.2,2,10
P4,in order to,0,1.5,4,10
P4,can be expressed as,0,0.2,2,10
P4,is defined as,0,0.9,4,10
P4,is calculated as,0,0.2,1,10
P4,the objective function,0,3.2,9,10
P4,constraint condition,0,0.1,1,10
P4,experimental results,0,0,0,10
P4,sensitivity analysis,2,2,5,10
P4,ablation study,3,0,0,10
P4,confidence interval,0,0,0,10
P4,standard deviation,0,0.6,4,10
P4,random seed,2,0,0,10
P4,training set,0,0,0,10
P4,validation set,0,0,0,10
P4,test set,0,0,0,10
P4,future work,0,1.1,6,10
P4,limitations of this study,0,0,0,10
P4,in this paper,0,2.4,8,10
P4,this paper proposes,1,0.5,3,10
P4,we propose,0,0,0,10
P4,we evaluate,0,0,0,10
P4,does not establish,0,0,0,10
P4,under the evaluated protocol,0,0,0,10
P5,results show that,0,1.1,3,10
P5,results indicate that,0,0.6,4,10
P5,as shown in figure,0,1,3,10
P5,as presented in table,0,0,0,10
P5,compared with,0,2.6,7,10
P5,compared to,0,1.9,6,10
P5,under the same,1,0.3,1,10
P5,statistically significant,0,0,0,10
P5,no significant difference,0,0,0,10
P5,it should be noted that,0,0.6,1,10
P5,in order to,0,1.5,4,10
P5,can be expressed as,0,0.6,3,10
P5,is defined as,0,2,5,10
P5,is calculated as,0,0.6,4,10
P5,the objective function,0,1.5,6,10
P5,constraint condition,0,0.2,2,10
P5,experimental results,0,0,0,10
P5,sensitivity analysis,0,3.3,5,10
P5,ablation study,0,0,0,10
P5,confidence interval,2,0,0,10
P5,standard deviation,4,0.6,3,10
P5,random seed,0,0,0,10
P5,training set,0,0,0,10
P5,validation set,0,0,0,10
P5,test set,0,0,0,10
P5,future work,1,0.6,4,10
P5,limitations of this study,0,0.1,1,10
P5,in this paper,1,3.4,6,10
P5,this paper proposes,0,1.1,7,10
P5,we propose,0,0.1,1,10
P5,we evaluate,0,0,0,10
P5,does not establish,3,0,0,10
P5,under the evaluated protocol,0,0,0,10
P6,results show that,0,0.7,4,10
P6,results indicate that,0,0.2,2,10
P6,as shown in figure,0,1.7,7,10
P6,as presented in table,0,0.1,1,10
P6,compared with,1,1.5,5,10
P6,compared to,0,3.3,8,10
P6,under the same,1,0.1,1,10
P6,statistically significant,0,0,0,10
P6,no significant difference,1,0,0,10
P6,it should be noted that,0,0.6,2,10
P6,in order to,0,1.3,4,10
P6,can be expressed as,0,0.3,2,10
P6,is defined as,0,0.6,3,10
P6,is calculated as,0,0.7,3,10
P6,the objective function,0,1.6,4,10
P6,constraint condition,0,0.1,1,10
P6,experimental results,0,0.4,1,10
P6,sensitivity analysis,1,0.9,4,10
P6,ablation study,1,0.8,2,10
P6,confidence interval,2,0,0,10
P6,standard deviation,2,0.5,1,10
P6,random seed,0,0,0,10
P6,training set,0,0,0,10
P6,validation set,0,0,0,10
P6,test set,0,0.1,1,10
